AccelerationX;AccelerationY;AccelerationZ;GyroscopeX;GyroscopeY;GyroscopeZ;Latitude;Longitude;Velocity;Altitude;Position;Hours;Minutes;Seconds;Date
-0,037520;0,009390;1,005590;-0,323050;-0,077510;0,264640;45,085683;14,156803;2,222400;160,700000;56,600000;10;45;07,001;06/01/2021
-0,036920;0,009650;1,005800;-0,304260;-0,056980;0,261320;45,085683;14,156803;2,222400;160,700000;55,700000;10;45;07,257;06/01/2021
-0,037600;0,008960;1,005330;-0,325310;-0,105250;0,246370;45,085683;14,156803;2,037200;160,700000;55,900000;10;45;07,513;06/01/2021
-0,036950;0,009840;1,005810;-0,299140;-0,057030;0,213180;45,085685;14,156803;2,222400;160,700000;49,900000;10;45;07,769;06/01/2021
-0,036470;0,009680;1,006050;-0,309540;-0,062500;0,257030;45,085685;14,156803;2,222400;160,600000;51,600000;10;45;08,025;06/01/2021
-0,041460;0,008160;1,006390;-0,314430;-0,076260;0,213360;45,085687;14,156803;2,407600;160,500000;43,000000;10;45;08,281;06/01/2021
-0,032140;0,009020;1,004730;-0,330390;-0,130700;0,267120;45,085688;14,156803;2,407600;160,500000;45,400000;10;45;08,538;06/01/2021
-0,039590;0,012280;1,007150;-0,268740;-0,037680;0,301750;45,085688;14,156805;2,592800;160,500000;47,900000;10;45;08,793;06/01/2021
-0,036470;0,007570;1,003900;-0,351200;-0,110610;0,156180;45,085690;14,156805;2,592800;160,300000;47,000000;10;45;09,049;06/01/2021
-0,037970;0,007510;1,005370;-0,286360;-0,075670;0,243360;45,085690;14,156805;2,407600;160,300000;47,800000;10;45;09,304;06/01/2021
-0,039350;0,015060;1,007790;-0,327930;-0,091080;0,184960;45,085690;14,156805;2,222400;160,200000;48,500000;10;45;09,560;06/01/2021
-0,029770;0,004720;1,002220;-0,326230;0,022340;0,289910;45,085688;14,156805;2,037200;160,200000;47,700000;10;45;09,817;06/01/2021
-0,044250;0,014350;1,006880;-0,305030;-0,202610;0,289250;45,085688;14,156803;1,852000;160,300000;42,000000;10;45;10,073;06/01/2021
-0,033200;0,003880;1,003530;-0,322940;-0,012200;0,272020;45,085688;14,156803;2,037200;160,300000;37,200000;10;45;10,329;06/01/2021
-0,041040;0,010880;1,007190;-0,303000;-0,128530;0,223030;45,085688;14,156802;1,666800;160,400000;35,500000;10;45;10,585;06/01/2021
-0,035470;0,010280;1,005940;-0,327340;-0,033800;0,323710;45,085688;14,156803;2,037200;160,400000;41,200000;10;45;10,841;06/01/2021
-0,039480;0,006430;1,007500;-0,310290;-0,047480;0,278260;45,085688;14,156803;2,222400;160,200000;41,100000;10;45;11,097;06/01/2021
-0,034990;0,012280;1,004970;-0,330630;-0,121990;0,240400;45,085688;14,156805;2,222400;160,300000;46,400000;10;45;11,354;06/01/2021
-0,036670;0,009110;1,006030;-0,308650;-0,019330;0,318950;45,085690;14,156805;2,407600;160,200000;44,700000;10;45;11,609;06/01/2021
-0,039980;0,006060;1,004210;-0,331860;-0,139850;0,241630;45,085690;14,156805;2,407600;160,300000;43,200000;10;45;11,865;06/01/2021
-0,036840;0,010620;1,009880;-0,309710;-0,090580;0,256010;45,085690;14,156805;2,222400;160,300000;39,800000;10;45;12,120;06/01/2021
-0,041230;0,009040;1,002770;-0,376760;0,067520;0,258070;45,085688;14,156805;2,037200;160,600000;46,300000;10;45;12,412;06/01/2021
-0,030370;0,010350;1,003580;-0,315830;-0,062980;0,289590;45,085688;14,156805;2,037200;160,800000;52,700000;10;45;12,633;06/01/2021
-0,038930;0,009720;1,007710;-0,329970;-0,120000;0,259580;45,085687;14,156807;1,852000;160,900000;59,900000;10;45;12,890;06/01/2021
-0,038370;0,006230;1,003630;-0,299890;-0,068930;0,232460;45,085685;14,156807;1,852000;161,000000;65,100000;10;45;13,145;06/01/2021
-0,041240;0,010000;1,007700;-0,328710;-0,159370;0,281210;45,085683;14,156805;1,852000;161,300000;68,800000;10;45;13,401;06/01/2021
-0,033910;0,011400;1,005140;-0,241140;0,131600;0,242900;45,085683;14,156807;1,852000;161,400000;75,600000;10;45;13,657;06/01/2021
-0,034950;0,006850;1,002920;-0,363690;-0,274800;0,289750;45,085682;14,156807;2,037200;161,300000;79,000000;10;45;13,913;06/01/2021
-0,041370;0,010520;1,007780;-0,267120;-0,083250;0,252970;45,085680;14,156807;2,037200;161,300000;81,700000;10;45;14,169;06/01/2021
-0,036640;0,007900;1,006240;-0,293180;0,033880;0,245370;45,085680;14,156807;1,852000;161,300000;81,800000;10;45;14,425;06/01/2021
-0,038270;0,010390;1,005670;-0,329190;-0,128350;0,232590;45,085680;14,156805;1,852000;161,300000;84,000000;10;45;14,681;06/01/2021
-0,035750;0,007970;1,004090;-0,369000;-0,150050;0,273660;45,085678;14,156805;1,481600;161,400000;84,500000;10;45;14,937;06/01/2021
-0,037350;0,010410;1,006830;-0,229350;0,036340;0,221560;45,085678;14,156803;0,000000;161,500000;84,500000;10;45;15,193;06/01/2021
-0,038000;0,008860;1,004950;-0,351030;-0,136510;0,244660;45,085677;14,156802;0,000000;161,700000;84,500000;10;45;15,450;06/01/2021
-0,037850;0,008770;1,005160;-0,306070;-0,058810;0,215200;45,085677;14,156800;1,481600;161,900000;65,000000;10;45;15,705;06/01/2021
-0,036830;0,010100;1,005600;-0,308700;-0,086050;0,220500;45,085675;14,156798;0,000000;161,900000;65,000000;10;45;15,961;06/01/2021
